rounding_type,rounding_p,diff,round_corpus,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,NDCG@1000,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,MAP@1000,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,Recall@1000,P@1,P@3,P@5,P@10,P@100,P@1000
guass,6,0.16666666666666669,True,0.7458,0.79915,0.81858,0.83608,0.85309,0.85467,0.64615,0.75612,0.77584,0.78896,0.79658,0.79679,0.64615,0.82663,0.88078,0.93117,0.99148,0.99953,0.7458,0.35247,0.23354,0.12978,0.01519,0.00156
guass,6,0.16666666666666669,False,0.7945,0.83858,0.85467,0.86874,0.88269,0.8839,0.68851,0.79839,0.81703,0.82856,0.83555,0.83572,0.68851,0.85917,0.90492,0.9459,0.99376,0.99965,0.7945,0.3676,0.24198,0.13268,0.01527,0.00157
guass,7,0.14285714285714288,True,0.7658,0.81589,0.83462,0.84992,0.86577,0.86717,0.66381,0.77375,0.79358,0.80563,0.81308,0.81326,0.66381,0.84137,0.89274,0.93721,0.99244,0.99968,0.7658,0.35863,0.23778,0.13102,0.01525,0.00157
guass,7,0.14285714285714288,False,0.7968,0.84035,0.8571,0.8708,0.88425,0.88543,0.69121,0.80031,0.8193,0.83075,0.83759,0.83775,0.69121,0.8606,0.90737,0.94756,0.9939,0.99969,0.7968,0.3684,0.2432,0.13321,0.01528,0.00157
guass,8,0.125,True,0.7748,0.82413,0.84238,0.85763,0.87215,0.87341,0.67225,0.78274,0.80221,0.81433,0.82149,0.82166,0.67225,0.84838,0.8986,0.94291,0.99328,0.99953,0.7748,0.36207,0.2399,0.13214,0.01526,0.00157
guass,8,0.125,False,0.8003,0.84064,0.85754,0.8723,0.88554,0.88673,0.69407,0.8014,0.82046,0.83255,0.83931,0.83949,0.69407,0.85844,0.90599,0.94843,0.994,0.9998,0.8003,0.3675,0.24226,0.13333,0.01528,0.00157
guass,9,0.1111111111111111,True,0.7848,0.83223,0.84892,0.86375,0.8779,0.8792,0.68124,0.7915,0.81027,0.82232,0.82928,0.82946,0.68124,0.85423,0.90151,0.94423,0.99312,0.99969,0.7848,0.36537,0.24082,0.13251,0.01526,0.00157
guass,9,0.1111111111111111,False,0.8004,0.84133,0.85846,0.87276,0.88579,0.88696,0.69379,0.80178,0.82108,0.83293,0.83962,0.83979,0.69379,0.85921,0.90748,0.94922,0.9941,0.9997,0.8004,0.3682,0.2431,0.1335,0.01528,0.00157
guass,10,0.09999999999999999,True,0.7892,0.83362,0.85115,0.86622,0.87994,0.88114,0.68418,0.79347,0.81287,0.82494,0.83189,0.83206,0.68418,0.85413,0.90281,0.94673,0.99374,0.99969,0.7892,0.36517,0.24148,0.13282,0.01528,0.00157
guass,10,0.09999999999999999,False,0.8017,0.84192,0.85911,0.87299,0.88632,0.88742,0.69504,0.80252,0.82185,0.83352,0.8403,0.84047,0.69504,0.85971,0.90811,0.94852,0.99451,0.99969,0.8017,0.3685,0.24328,0.13338,0.01529,0.00157
guass,12,0.08333333333333334,True,0.7955,0.8385,0.85524,0.86905,0.88347,0.88455,0.68988,0.79872,0.81797,0.82941,0.83652,0.83668,0.68988,0.85792,0.90472,0.94464,0.99457,0.99977,0.7955,0.3671,0.24244,0.13284,0.01529,0.00157
guass,12,0.08333333333333334,False,0.8028,0.84322,0.86075,0.8744,0.8875,0.88859,0.6963,0.80409,0.82359,0.83515,0.84183,0.84199,0.6963,0.86092,0.90964,0.94949,0.99456,0.99983,0.8028,0.36867,0.24362,0.13355,0.0153,0.00157
guass,15,0.06666666666666667,True,0.7963,0.84101,0.85755,0.87147,0.88496,0.88612,0.69099,0.80122,0.82009,0.83174,0.8386,0.83877,0.69099,0.86063,0.90758,0.94793,0.99411,0.99978,0.7963,0.36867,0.24284,0.13317,0.01529,0.00157
guass,15,0.06666666666666667,False,0.8024,0.84455,0.86036,0.87448,0.8875,0.88866,0.69587,0.80475,0.82333,0.83503,0.8418,0.84197,0.69587,0.86361,0.90885,0.94982,0.99421,0.9998,0.8024,0.3702,0.2434,0.13361,0.01529,0.00157
guass,20,0.049999999999999996,True,0.8011,0.84338,0.85966,0.87341,0.88677,0.88793,0.69489,0.80363,0.82256,0.83407,0.84095,0.84112,0.69489,0.86199,0.9082,0.94855,0.99428,0.99979,0.8011,0.3695,0.24352,0.13341,0.01528,0.00157
guass,20,0.049999999999999996,False,0.8041,0.84432,0.86078,0.87505,0.88813,0.88919,0.69764,0.80504,0.82398,0.83585,0.84262,0.84278,0.69764,0.86169,0.90844,0.94989,0.99473,0.99979,0.8041,0.36937,0.24328,0.13367,0.0153,0.00157
uniform,1,1.0,True,0.0002,0.00018,0.0002,0.00027,0.00148,0.00511,0.00011,0.00012,0.00014,0.00017,0.00035,0.00043,0.00011,0.00013,0.00023,0.00046,0.00639,0.03509,0.0002,0.0001,8e-05,8e-05,0.0001,5e-05
uniform,1,1.0,False,0.2435,0.30295,0.32829,0.35723,0.41407,0.43798,0.21077,0.27509,0.29152,0.3051,0.31799,0.31905,0.21077,0.3419,0.40396,0.48868,0.7376,0.90796,0.2435,0.14057,0.10222,0.06414,0.01065,0.00138
uniform,2,0.5,True,0.0915,0.11806,0.1326,0.15138,0.20344,0.24055,0.07449,0.10173,0.11039,0.11834,0.12793,0.12932,0.07449,0.13558,0.17225,0.22885,0.47096,0.74671,0.0915,0.0577,0.04468,0.03026,0.00664,0.0011
uniform,2,0.5,False,0.7173,0.76967,0.78929,0.80876,0.82932,0.83185,0.62295,0.72836,0.74777,0.76091,0.7689,0.76917,0.62295,0.79818,0.85111,0.90749,0.98352,0.99735,0.7173,0.33853,0.22534,0.12554,0.01494,0.00156
uniform,3,0.33333333333333337,True,0.4655,0.54531,0.57725,0.60991,0.6532,0.66042,0.39866,0.49844,0.52149,0.53882,0.55144,0.55197,0.39866,0.59667,0.67682,0.77257,0.94725,0.99285,0.4655,0.24973,0.17556,0.10398,0.01414,0.00154
uniform,3,0.33333333333333337,False,0.7674,0.81584,0.8334,0.84956,0.86535,0.86684,0.66549,0.77461,0.79369,0.80605,0.81328,0.81348,0.66549,0.83907,0.88879,0.93566,0.99164,0.99911,0.7674,0.3583,0.23658,0.13068,0.0152,0.00156
uniform,4,0.25,True,0.6559,0.72306,0.74958,0.77169,0.79625,0.79862,0.56797,0.67736,0.7,0.71442,0.72364,0.7239,0.56797,0.7626,0.83029,0.89411,0.98536,0.99829,0.6559,0.32133,0.21838,0.12349,0.01499,0.00156
uniform,4,0.25,False,0.7869,0.83007,0.84757,0.86217,0.87686,0.87821,0.68195,0.79003,0.80924,0.82102,0.82809,0.82827,0.68195,0.85062,0.89885,0.94156,0.99275,0.99968,0.7869,0.3631,0.24014,0.132,0.01526,0.00157
